,Questions,Answers
342,የደቡብ ክልል አፈ ጉባኤ ማን ይባላሉ?,ወይዘሮ ሄለን ደበበ
343,ወይዘሮ ሔለን ደበበ በደቡብ ክልል ያላቸው ኃላፊነት ምንድን ነው?,የደቡብ ክልል ምክር ቤት አፈ ጉባኤ
344,ፕሮፌሰር ጥላሁን ይልማ የምን ክትባት ፈለሰፉ?,የደስታ በሽታ ክትባት
345,ፕሮፌሰር ጥላሁን ይልማ የፈለሰፉት ለእንስሳት የሚሆን ክትባት የምን በሽታ መድኃኒተ ነው?,የደስታ በሽታ
346,ፕሮፌሰር ጥላሁን ይልማ በዓለም አቀፍ ደረጃ ምን ያህል ምርምሮችን በታዋቂ መጽሔቶች ላይ አሳትመዋል?,ከ124 በላይ
347,ፕሮፌሰር ጥላሁን ይልማ ሌላ ለምን በሽታ ክትባት ለማግኘት ጥረዋል?,ለኤች አይ ቪ/ኤዲስ ቫይረስ
348,ከ100 ዓመታት በፊት በአፍሪካና በአውሮፓ ለከብቶች እልቂት ምክንያት የሆነው በሽታ ምን ይባላል?,የደስታ በሽታ
349,በእንግሊዝና በጣሊያን ወታደሮች ሴራ ወደ ኢትዮጵያ በገቡ ከብቶች በተዛመተው የደስታ በሽታ ከብቶች በማለቃቸው ለምን ያህል ጊዜ ረሀብ ነበር?,ለአራት ዓመታት
350,በእንግሊዝና በጣሊያን ወታደሮች ሴራ ወደ ኢትዮጵያ በገቡ ከብቶች በተዛመተው የደስታ በሽታ ከብቶች በማለቃቸው ከመቼ እስከ መቼ ረሀብ ነበር?,እ.አ.አ ከ1888-1892
351,እ.ኤ.አ ከ1888-1892 ወደ ኢትዮጵያ በገቡ ከብቶች በተዛመተው የደስታ በሽታ በደረሰው እልቂት ከፍተኛ ረሀብ የተከሰተው በማን ሴራ ነበር?,በእንግሊዝና በጣሊያን ወታደሮች
352,የፕሮፌሰር ጥላሁን ይልማ የክትባት ግኝት በዓለም ላይ ያሉ ከብቶችን በምን በሽታ እንዳይጠቁ ማድረግ ችሏል?,በደስታ በሽታ
353,በእንግሊዝና በጣሊያን ወታደሮች ተንኮል በገቡ ከብቶች ምክንያት ተዛምቶ በሀገራችን ብዙ ከብቶችን የፈጀው በሽታ ምን ነበር?,የደስታ በሽታ
354,የኢትዮጵያ ኤሌክትሪክ አገልግሎት ከሠራተኞቹ ጋር የሚገናኝበት ሬዲዮ ምን ይባላል?,የአስትሮ ሞቶሮላ 
355,የሬዲዮ መገናኛው የመጀመሪያ ምዕራፍ ምን ያህል ገንዘብ አስወጥቷል?,1 ነጥብ 8 ሚሊዮን ዶላር
356,በኤሌክትሪክ አገልግሎት የአውቶሜሽንና ኢነርጂ ማኔጅመንት ምክትል ዋና ሥራ አስፈፃሚ ማን ይባላሉ?,ደመቀ ሮቢ
357,በምዕራፍ ሁለት ፕሮጀክቱን ማካሄድና ከአዲስ አበባ ውጪ በስንት ከተሞች ሊሠራ ታስቧል?,8 ከተሞች
358,ኢትዮጵያ የመጀመሪያው የመሬት ምልክታ ሳተላይቷን መቼ አመጠቀች?,ታኅሣሥ ወር 2012 ዓ.ም
359,በ2012 ዓ.ም የመጠቀችው የኢትዮጵያ ሳተላይት ምን ስያሜ ተሰጣት?,ETRSS-1
360,ኢትዮጵያ በ2013 ምን የምትባለዋን ሳተላይት አመጠቀች?,ET-Smart-RSS
361,"ኢትዮጵያ በ2013 ""ET-Smart RR"" የተሰኘችውን ሳተላይት ማምጠቋን ማን አስታወቀ?",የኢትዮጵያ ስፔስ ሳይንስ እና ቴክኖሎጂ ኢንስቲትዩት
362,ETRSS-1 የተሰኘችውን ሳተላይት ወደ ህዋ ያመጠቀችው ሀገር ማናት?,ኢትዮጵያ 
363,ፈጣን የኮሮና ቫይረስ መመርመሪያ የሰራች ሀገር ማናት?,ህንድ 
364,ሕንድ የሠራችውን የኮሮና ቫይረስ መመርመሪያ በስንት ሰዎች ላይ ሞከረች?,በ2 ሺህ
365,ሕንድ የሠራችውን የኮሮና ቫይረስ መመርመሪያ ምን ይባላል?,ፌሉዳ 
366,ፌሉዳ የተባለው የኮሮና ቫይረስ መመርመሪያ ዋጋው ስንት ነው?,500 የህንድ ሩፒ ወይም ሰባት ዶላር
367,የሕንድ መንግስት የሳይንስ አማካሪ ማናቸው?,ፕሮፌሰር ኬ ቪጃይ ራጋቫን
368,ሕንድ ምን ያህል የኮሮና ቫይረስ መመርመሪያ ላቦራቶሪዎች አሉዋት?,ከ1 ሺህ 200
369,በራሪ ታክሲዎችን በጋራ ለመስራት የወሰኑት ኩባንያዎች እነማን ናቸው?,ኡበርና ሃዩንዳይ
370,ኡበርና ሃዩንዳይ ሊሰሩት ያሰቡት በራሪ ታክሲ እስከ ስንት ሰው መያዝ ይችላል?,አራት
371,ኡበርና ሃዩንዳይ ሊሰሩት ያሰቡት በራሪ ታክሲ በሰዓት ምን ያህል ርቀት ይጓዛል?,320 ኪሎ ሜትር
372,ኡበር በራሪ ታክሲዎችን መቼ ለደንበኞቹ ለማቅረብ አቅዷል?,በፈረንጆቹ 2023
373,ኡበርና ሃዩንዳይ ሊሰሩት ያሰቡት በራሪ ታክሲ የት ለማስተዋወቅ አቅደዋል?,በላስ ቬጋስ
374,የኢ ኦ ኤን ሪአሊቲ የሶፍትዌር አምራች ድርጅት ተቀማጭነቱ የት ነው?,ካሊፎርኒያ 
375,የኢ ኦ ኤን ሪአሊቲ የሶፍትዌር አምራች ድርጅት ማዕከሉን ለመክፈት የፈለገው በየት ነው?,በኢትዮጵያ 
376,የኢ ኦ ኤን ሪአሊቲ የሶፍትዌር አምራች ድርጅት ማዕከሉን በኢትዮጵያ ለመክፈት ሀሰብ እንዳለው ውይይት ያደረገው ከማን ጋር ነው?,ፕሮፌሰር ሂሩት ወልደማርያም
377,የኢ ኦ ኤን ሪአሊቲ የሶፍትዌር አምራች ድርጅት መስራች ማን ነው?,ዳን ለጀርስካር
378,የኢትዮጵያ ሲቪል አቪዬሽን ለአየር መቆጣጠሪያ ታወሮች ግንባታ ምን ያህል ገንዘብ አወጣ?,ከ100 ሚሊየን ብር በላይ
379,የኢትዮጵያ ሲቪል አቪዬሽን ለአየር መቆጣጠሪያ ስንት ታወሮች ገነባ?,አራት
380,በአፋር ክልል ዲቼቶ አካባቢ የተመረቀው ተርሚናል ምንድን ነው?,የድንበር ተሻጋሪ የጭነት ተሽከርካሪዎች መቆያ
381,በአፋር ክልል ዲቼቶ አካባቢ የተገነባውን የጭነት መቆያ ተርሚናል ያስመረቀው ማነው?,የፌዴራል ትራንስፖርት ባለስልጣን
382,በአፋር ክልል ዲቼቶ አካባቢ የተገነባውን የጭነት ማቆያ ተርሚናል በስንት ሄክታር ላይ አረፈ?,በ12 
383,በአፋር ክልል ዲቼቶ አካባቢ የተገነባውን የጭነት መቆያ ተርሚናል በአንድ ጊዜ ስንት ከባድ ተሽከርካሪዎች ማስተናገድ ይችላል?,800
384,የፌደራል ትራንስፖርት ባለስልጣን በአፋር ክልል የት አካባቢ የጭነት መኪናዎች መቆያ ተርሚናል አስገነባ?,ዲቼቶ 
385,በአፋር ክልል ዲቼቶ አካባቢ የተገነባውን የጭነት መቆያ ተርሚናል ለመገንባት ምን ያህል ወጪ ወጣ?,99 ሚሊየን 279 ሺህ 944 ብር
386,አፕል የምን ዘርፍ ኩባንያ ነው?,የቴክኖሎጂ 
387,የአፕል ኩባንያ በፈረንሳይ ከንግድ ውድድር ውጪ በመንቀሳቀሱ ስንት ብር ተቀጣ?,1 ነጥብ 4 ቢሊየን ዶላር
388,አፕል ኩባንያ በፈረንሳይ በምን ምክንያት ነው የተቀጣው?,ከንግድ ውድድር ህጉ ውጭ ተንቀሳቅሷል
389,በአፕል ኩባንያ ላይ ስንት አመት ምርመራ ከተደረገ በሁዋላ ነው የተቀጣው?,ለ10 ዓመት
390,በፈረንሳይ ስንት የአፕል አከፋፋዮች ላይ ማዕቀብ ተጣለ?,ሁለት 
391,አፕል ኩባንያ በፈረንሳይ ስንት አመት አገልግሎት ሰጠ?,የ40 ዓመት
392,አፕል ኩባንያ በፈረንሳይ ሀገር ለምን ያህል ሰዎች የሥራ እድል ፈጥሯል?,ለ240 ሺህ
393,አፕል ኩባንያ ከንግድ ውድድር ውጪ ተንቀሳቅሷል ተብሎ የተቀጣው በማን ነው?,በፈረንሳይ የንግድ ውድድርና ሸማች ባለስልጣን
394,በአፍሪካ አህጉር ውስጥ ስንት በመቶ የኢንተርኔት ተጠቃሚዎች አሉ?,24 በመቶ
395,ዲጂታል ቴክኖሎጂን መሠረት ያደረጉ የሥራ እድል ፈጠራዎች አዳጋች ያደረጉ ነገሮች?,የኢንተርኔት አገልግሎት አለመስፋፋት
396,በአፍሪካ አህጉር ውስጥ ከ2015-2035 እ.ኤ.አ ምን ያህል ስራ ፈላጊ ሰዎች ይኖራሉ?,450 ሚሊዮን
397,በአፍሪካ አህጉር ውስጥ 450 ሚሊየን ያህል ስራ ፈላጊ ሰዎች ከመቼ እስከ መቼ ይኖራሉ ተብሎ ተገምቷል?,እኤአ ከ2015 እስከ 2035
398,በአፍሪካ አህጉር ውስጥ ከ2015-2035 እ.ኤ.አ 450 ሚሊየን ያህል ስራ ፈላጊ ሰዎች ይኖራሉ ብሎ የገመተው ማነው?,የዓለም ባንክና የአፍሪካ ልማት ባንክ
399,የጁፒተር እና ሳተርን ምህዋር በየስንት አመቱ ይገናኛሉ?,በየ20 ዓመቱ
400,በየ20 አመቱ በመግጠም አንድ የሚሆኑ ፕላኔቶች እነማ ናቸው?,ጁፒተር እና ሳተርን
401,የቤተልሄም ኮከብ ተብሎ የሚጠራው ክስተት ከስንት አመታት በፊት ነበር?,ከ2 ሺህ 
402,ጁፒተር እና ሳተርን ከስንት አመት በኋላ ነው የገጠሙት?,ከ4 መቶ
403,የባህር ዳር ዩኒቨርሲቲ የሆነው በውሃ ላይ የሚነዳ የብስክሌት ጀልባ የፈጠረው ማነው?,ጌታባለው መኩሪያው
404,ጌታባለው መኩሪያ የፈጠራ ስራውን ከምን ከምን ሊሰራው ቻለ?,የወዳደቁ ፒፒሲ ትቦዎች፣ የላሜራ ብረቶችና ፌሮዎች
405,ጌታባለው መኩሪያ የፈጠራ ሥራውን የት ፈጠረው?,በባህርዳር ዩኒቨርስቲ
406,ፈጠራውን እንዴት አድርጎ ለማሳየት ሞከረ?,በውሃ ላይ በመንዳት
407,በዉሃ ላይ የሚሄድ ብስክሌት ፈጠራ ባለቤት የሆነው ጌታባለው መኩሪያ በየት ዩኒቨርሲቲ ይማራል?,በባህርዳር ዩኒቨርስቲ
408,በዉሃ ላይ የሚሄድ ብስክሌት ፈጠራ ባለቤት ጌታባለው መኩሪያ በባህር ዳር ዩኒቨርሲቲ ስንተኛ ዓመት ተማሪ ነው?,3ኛ 
409,በዉሃ ላይ የሚሄድ ብስክሌት ፈጠራ ባለቤት ጌታባለው መኩሪያ በባህር ዳር ዩኒቨርሲቲ የምን ተማሪ ነው?,የሜካኒካል ኢንጅነሪንግ
410,ቻይና በማርስ ላይ የምታካሂደው የመጀመሪያ ሳይንሳዊ ጥናት በምን ወር ትጀምራለች?,ሃምሌ
411,ቻይና የምትልከው ሳተላይት ምን በሚባል ሮኬት ወደ ህዋ ይላካል?,ሎንግ ማርች 5-ዋይ 4
412,ሎንግማርች 5 ወይ 4 የተሰኘ ሮኬት እንደምትለቀቅ ማነው ያሳወቀው?,የቻይና የጠፈር ምርምር ተቋም
413,ፌስቡክ የተጠቃሚዎች አድራሻ እንዳይገኝ ምን አይነት ዘዴዎችን ሲጠቀም ቆይቷል?,በተንቀሳቃሽ ስልካቸው ኮድ እንዲላክ
414,ፌስቡክ የተጠቃሚዎችን ስልክቁጥር ለምን አይነት ጥቅሞች ሲያውለው ነበር?,ለማስታወቂያ እና በጓደኛ ጥቆማ
415,የፌስቡክ ኩባንያ ሀሰተኛ መረጃዎችን መቀነስ የሚያስችለውን ምን አይነት ፕሮግራም አስተዋወቀ?,የሶስተኛ ወገን የትክክለኛነት ማረጋገጫ ፕሮግራም
416,ሶስተኛ ወገን የመረጃ ትክክለኛነት ማረጋገጫ ፕሮግራም ለምን ይጠቅማል?,ሀሰተኛ መረጃዎችን ለመግታት
417,ፌስቡክ ሶስተኛ ወገን የመረጃ ትክክለኛነት ማረጋገጫ ፕሮግራም በስንት አፍሪካ ሀገሮች ለመተግበር ወሰነ?,በ10
418,እጅግ በጣም ከፍተኛ በሆነ የሙቀት ወቅት የአውሮፕላኖችን ሁኔታ መከታተል የሚያስችል ዘዴ ይፋ ያደረጉት የምን ሀገር ተመራማሪዎች ናቸው?,የቻይና 
419,የቻይና ተመራማሪዎች ከስንት እስከ ስንት ሙቀት መጠን የአውሮፕላኖችን ሁኔታ ለመከታተል የሚያስችል ዘዴ ይፋ አደረጉ?,ከ800 እስከ 1 ሺህ 300 ዲግሪ ሴሊሺየስ
420,የቦይንግ ቃል አቀባይ ማን ናቸው?,ጎርዶን ጆንድሮ
421,በየትኛው የቦይንግ አውሮፕላን ላይ ነው አዲስ የዲዛይን ክፍተት መገኘቱ የተገለፀ?,737 ማክስ
422,በቦይንግ 737 ማክስ አውሮፕላን ላይ ምን አይነት የዲዛይን ክፍተት ነው የተገኘው?,የኤሌክትሪክ ሽቦ መቀራረብ
423,በቦይንግ 737 ማክስ አውሮፕላን ላይ በተገኘው የዲዛይን ክፍተት ምክንያት በአምስት ወር ውስጥ ምን ያህል አደጋ አጋጠመ?,ሁለት
424,በቦይንግ 737 ማክስ አውሮፕላን ላይ በተገኘው የዲዛይን ክፍተት ምክንያት በአምስት ወር ውስጥ ባጋጠሙ ሁለት አደጋዎች ስንት ሰው ሞተ?,346 
425,በቦይንግ 737 ማክስ አውሮፕላን ላይ የዲዛይን ክፍተት መኖሩን ያረጋገጠው ማነው?,የቦይንግ ኩባንያ እና የአሜሪካ ፌዴራል አቪዬሽን አስተዳደር (ኤፍ.ኤ.ኤ
426,ማይክሮሶፍት ምስጢራዊ መረጃዎችን ሲመዘብር የያዘው የሰሜን ኮሪያ ቡድን ማን ተብሎ ይጠራል?,ታሊየም 
427,ታሊየም የተሰኘው የሰሜን ኮሪያ መረጃ መዝባሪዎች ቡድን ምን ዓይነት መረጃዎችን ነው የሚመዘብረው?,ሚስጢራዊ መረጃዎችን 
428,ታሊየም የተባለው የሰሜን ኮሪያ ቡድን ምስጢራዊ መረጃዎችን ሲመዘብር የያዘው ማን ነው?,ማይክሮ ሶፍት
429,ማይክሮሶፍት ታሊየም የመዘበራቸውን ስንት የድር መደቦችን ተቆጣጠረ?,50
430,ታሊየም የተባለው የሰሜን ኮሪያ ቡድን ምስጢራዊ መረጃዎችን በመመዝበሩ በየት ተከሰሰ?,በምሥራቃዊ ቨርጂኒያ 
431,ሳምሰንግ በተጠናቀቀው የፈረንጆቹ ዓመት ምን ያህል አምስተኛ ትውልድ ኢንተርኔት የሚጠቀሙ ዘመናዊ ስልኮችን ሸጠ?,6 ነጥብ 7 ሚሊየን 
432,ሳምሰንግ በዓመቱ ሊሸጣቸው ገበያ ላይ ከዋሉት ስማርት ስልኮች ውስጥ በብዛት የተሸጠው ሞዴል ምን ይባላል?,ሳምሰንግ ኤስ ኤስ ኤን አል ኤፍ
433,ሳምሰንግ በዓመቱ ወደ ገበያ ይዟቸው የወጡት ሞዴሎች ምን ምን ናቸው?,ሳምሰንግ ጋላክሲ ኖት 10ጂ፣ 10+5ጂ፣ ኤ90 5ጂ እና የመተጣጠፍ ችሎታ ያለው ጋላክሲ 5ጂ
434,ኤርፓድስ የተባለ ገመድ አልባ ድምፅ ማዳመጫ መጀመሪያ ያቀረበው ማነው?,አፕል ኩባንያ
435,አፕል ኩባንያ ያቀረበው ኤርፓድስ የተባለ ገመድ አልባ ድምፅ ማዳመጫ ዋጋው ስንት ነው?,159 የአሜሪካ ዶላር
436,አፕል ኩባንያ ያቀረበው የተባለ ገመድ አልባ ድምፅ ማዳመጫ ምን ይባላል?,ኤርፖድስ
437,ኤርፓድስ የተባለው ገመድ አልባ ድምፅ ማዳመጫ ለተጠቃሚዎች ልዩ የሚያደርገው ነገር ምንድን ነው?,በድምፅ ማዘዝ የሚችሉት
438,የአስትራዜኔካ ክትባት በስንት ሰዎች ላይ ሙከራ ተደረገበት?,32 ሺህ
439,በአስትራዜኔካ ላይ የተደረገው ጥናት ውጤት ስለክትባቱ ምንን አመላከተ?,ክትባቱ ውጤታማና ምንም አይነት የጎንዮሽ ጉዳት የሌለው መሆኑን
440,የአስትራዜኔካ የኮቪድ-19 ክትባት ምንም የጎንዮሽ ችግር አለመኖሩን በጥናት ያረጋጠው ማነው?,የኦክስፎርድ ዩኒቨርሲቲ
441,የአስትራዜኔካ የኮቪድ-19 ክትባት በየት በየት አገሮች ተሞከረ?,በአሜሪካ፣ በቺሊና በፔሩ
442,የኦክስፎርድ ዩኒቨርሲቲ የአስትራዜኔካ የኮቪድ-19 ክትባት አስተማማኝነት በተመለከተ በስንት ሀገሮች ጥናት አደረገ?,በሶስቱ 
443,የኦክስፎርድ ዩኒቨርሲቲ በአስትራዜኔካ የኮቪድ-19 ክትባት ዙሪያ ጥናት ያደረገው በየትኛው እድሜ ክልል በሚገኙ ሰዎች ላይ ነው?,በሁሉም 
444,ኢ-ኮሜርስ ምን ዓይነት የንግድ መንገድ ነው?,ሸማችን ከአምራች ጋር በቀጥታ የሚያገናኝ የኤሌክትሮኒክስ ግብይት
445,የንግዱን ዘርፍ በማዘመን ሸማችን ከአምራች በቀጥታ የሚያገናኝ የኤሌክትሮኒክ ግብይት ምን ይባላል?,ኢ-ኮሜርስ
446,የኢ-ኮሜርስ ንግድ ለማካሄድ ከመተግበሪያው በተጨማሪ ሌላ ምን ያስፈልጋል?,የኢንተርኔት አገልግሎት
447,የዊንዶውስ ሶፍትዌር አምራች ድርጅት ማነው?,ማይክሮሶፍት 
448,ዊንዶውስ 10 በዓለም ላይ ምን ያህል ሰዎች ይጠቀሙታል?,800 ሚሊየን
449,በውሃ ላይ የሚሰራ ብስክሌት ያስተዋወቀው ማንታ 5 ኩባንያ የየት ሀገር ድርጅት ነው? ,የኒውዝላንድ 
450,በውሃ ላይ የሚሰራ ኤክስ ኢ 1 የኤሌክትሪክ ብስክሌት በገበያ ላይ ያዋለው ድርጅት ማነው?,ማንታ 5 
451,ማንታ 5 ያስተዋወቀው በውሃ ላይ የምትሰራው የኤሌክትሪክ ብስክሌት ምን ትባላለች?,ኤክስ ኢ 1
452,በውሃ ላይ የሚሄድ የኤሌክትሪክ ብስክሌቱ የሚሰራው በምንድን ነው?,በፔዳል 
453,በውሃ ላይ የሚሄደው የኤሌክትሪክ ብስክሌት በሰአት እስከ ስንት ኪሎ ሜትር ድረስ ይጓዛል?,20 ነጥብ 9 ኪሎ ሜትር 
454,ኢክስኢ 1 ብስክሌትን ለእይታ ለማብቃት ስንት አመት ፈጀ?,10 አመት
455,ኤክስኢ 1 በውሃ ላይ የምትሰራ የኤሌክትሪክ ብስክሌት ባለቤት ማንታ 5 ምርቱን ለመጀመሪያ ጊዜ ያስተዋወቀው የት ነበር?,በላስ ቬጋስ
456,ኤክስ ኢ 1 በውሃ ላይ የሚሄድ የኤሌክትሪክ ብስክሌት የስንት ብር መጠን ተቆርጦለታል?,የ6 ሺህ ፓውንድ
457,ወይዘሮ ዘሚ የኑስ በምን ምክንያት ሞቱ?,በኮሮና ቫይረስ
458,ወይዘሮ ዘሚ የኑስ በምን ቫይረስ ተጠቁ?,በኮሮና ቫይረስ
459,የኒያ ፋውንዴሽን እና የጆይ ኦቲዝም መስራች ማናቸው?,ወይዘሮ ዘሚ የኑስ
460,ወይዘሮ ዘሚ የኑስ ምን ያህል የአእምሮ እድገት ውስንነት ላለባቸው ልጆች ይንከባከቡ ነበር?,ከ200 በላይ
461,ወይዘሮ ዘሚ የኑስ የምንና የምን ማዕከላት መስራች ናቸው?,የኒያ ፋውንዴሽን እና የጆይ ኦውቲዝም
462,በጆይ ኦቲዝም ማዕከል ከ200 በላይ የአእምሮ እድገት ውስንነት ያለባቸው ልጆችን ሲንከባከቡ የነበሩት ግለሰብ ማን ይባላሉ?,ዘሚ የኑስ
463,የሴቶችን የሥራ ፈጠራ ፕሮጀክት ለማገዝ የሚውል የ100 ሚሊዮን ብር ስምምነት የፈረመው ማነው?,ኢትዮጵያና የዓለም ባንክ
464,የዓለም ባንክ በኢትዮጵያ ለሴቶች የሥራ ፈጠራ ፕሮጀክት የሚውል ምን ያህል ገንዘብ ለመስጠት ወሰነ?,የ100 ሚሊየን ዶላር
465,በመጽሐፍ ቅዱስ ለሚገኙት መጻሕፍት ርእስ የተሰጠው በማን ነበር?,ሠለስቱ ምዕት
466,በመጽሐፍ ቅዱስ ለሚገኙት መጻሕፍት ርእስ የተሰጠው በየት በተደረገ ጉባኤ ነበር?,በኒቂያ
467,ሠለስቱ ምእት በኒቅያ ጉባኤ ማንን አወገዙ?,አርዮስን
468,የኒቅያ ጉባኤ የተደረገው የት ነው?,በኒቂያ
469,በቅድስት ቤተክርስቲያንና በምእመናን ላይ ከባድ መከራ የደረሰበት ወቅት ምን ይባላል?,ዘመነ ሰማዕታት
470,ዘመነ ሰማዕታት የሚባለው ጊዜ ከመቼ እስከ መቼ ነበር?,ከ285 - 395
471,የእላኒና የቁንስጣ ልጅ ማን ይባላል?,ቆስጠንጢኖስ
472,በቤተክርስቲያንና በምእመናን ላይ የተለያዩ መከራዎች እንዲደርስባቸው ምክንያት የሆኑት ነገሥታት እነማን ናቸው?,ድዮቅልጥያኖስ መክስምያኖስ
473,ዘመነ ሰማዕታትን ያስቆመው ንጉሥ ማን ይባላል?,ቆስጠንጢኖስም
474,በዳንጎት፣ ሙገርና ደርባ የሲሚንቶ ፋብሪካዎች የውጪ ሀገር ዜጎች ሠራተኞች በብዛት የሚሳተፉት በምንድን ነው?,የማኔጅመንቱንና ቴክኒካል ሥራውን
475,በኢትዮጵያ ከሚገኙ ግዙፍ የሲሚንቶ ፋብሪካዎች የማኔጅመንቱ እና ቴክኒካል ሥራው በከፍተኛ ሁኔታ በውጪ ሀገር ዜጎች የተያዘባቸው ኩባንያዎች የትኞቹ ናቸው?,ዳንጎት፣ ሙገርና ደርባ
476,የኬሚካልና ኮንስትራክሽን ግብዓቶች ኢንዱስትሪ ልማት ኢንስቲትዩት ምክትል ዳይሬክተር ማን ይባላሉ?,ወ/ሮ ስምረት ግርማ
477,በኢትዮጵያ የሚገኙ በርካታ የሲሚንቶ ፋብሪካዎች ከኢትዮጵያውን ይልቅ በብዛት የውጪ ዜጎችን እየቀጠሩ መሆናቸውን ያሳወቁት ኃላፊ ማን ናቸው?,ወ/ሮ ስምረት ግርማ 
478,ወ/ሮ ስምረት ግርማ ያላቸው ኃላፊነት ምንድን ነው?,የኬሚካልና ኮንስትራክሽን ግብዓቶች ኢንዱስትሪ ልማት ኢንስቲትዩት ምክትል ዳይሬክተር
479,በኢትዮጵያ በሚገኙ የሲሚንቶ ፋብሪካዎች ኢትዮጵያውያን ሠራተኞች በብዛት የሚሳተፉት በምንድን ነው?,በዝቅተኛ ዕርከንና በጉልበት ሥራ
480,በኢትዮጵያ ስንት የሲሚንቶ ፋብሪካዎች ይገኛሉ?,17
481,በኢትዮጵያ ከሚገኙ የሲሚንቶ ፋብሪካዎች ምን ያህሉ ሲሚንቶ ማምረት ጀምረዋል?,12ቱ
482,እንቁላሏን በሆዷ የምትታቀፈው የእንቁራሪት ዓይነት ምን ትባላለች?,ጋስትሪክ ብሩዲንግ ፍሮግ
483,እንቁላሏን በሆዷ የምትታቀፈው የእንቁራሪት ዝርያ የየት ሀገር ነች?,የአውስትራሊያ
484,እንቁላሏን በሆዷ የምትታቀፈው የአውስትራሊያ እንቁራሪት ዝርያ የጠፋችው ከመቼ ዓመተ ምሕረት ጀምሮ ነው?,ከ2002
485,እንቁላሏን በሆዷ የምትታቀፈው የአውስትራሊያ እንቁራሪት ዝርያ ከ2002 ጀምሮ እንደጠፋች የገለጸው ድረ ገጽ ስያሜው ምን ይባላል?,ጄደብሊው
486,የአዲስ አበባ ገቢዎች ቢሮ ኃላፊ ማናቸው?,ጥቅምት 30 ቀን 2014 ዓ.ም.
487,አቶ ሙሉጌታ ተፈራ በአዲስ አበባ ከተማ መስተዳድር ኃላፊነታቸው ምንድን ነው?,የአዲስ አበባ ገቢዎች ቢሮ ኃላፊ
488,የአዲስ አበባ ከተማ ገቢዎች ቢሮ በ2014 ዓ.ም. የመጀመሪያ ሩብ ዓመት ምን ያህል ገቢ ለመሰብሰብ አቅዶ ነበር?,11.5 ቢሊዮን ብር
489,የአዲስ አበባ ከተማ መስተዳድር በ2014 ዓ.ም. መጀመሪያው ሩብ ዓመት ምን ያህል ገቢ ሰበሰበ?,12.26 ቢሊዮን ብር
490,ዓመታዊ የግብር ማሳወቅና አሰባሰብ እስከ መቼ ይቆያል?,ጥቅምት 30 ቀን 2014 ዓ.ም.
491,በኦርቶዶክስ እምነት ለበዓላትና አጽዋማት ማውጫ መነሻ ነጥብ ምንድን ነው?,መባጃ ሐመር
492,መባጃ ሐመር ለምን ይጠቅማል?,ለአጽዋማትና በዓላት ማውጫ
493,ከሰባቱ አጽዋማት ስንቱ መባጃ ሐመር ያስፈልጋቸዋል?,አራቱ
494,መባጃ ሐመር ሳያስፈልጋቸው ቋሚ ጊዜ ጠብቀው የሚጀምሩ አጽዋማት ስንት ናቸው?,ሦስቱ
495,መባጃ ሐመር ሳያስፈልጋቸው ቋሚ ጊዜ ጠብቀው የሚጀምሩ አጽዋማት የትኞቹ ናቸው?,ጾመ ነቢያት፣ ጾመ ገሃድና ጾመ ማርያም /ፍልሰታ/ 
496,መባጃ ሐመር መሰረት ተደርጎ የሚጀምሩበት ጊዜ የሚወሰነው አጽዋማት እነማን ናቸው?,ዐቢይ ጾም፣ ጾመ ድኅነት፣ ጾመ ነነዌና ጾመ ሐዋርያት
497,የአጽዋማትንና የበዓላትን መዋያ ወይም መግቢያ ቀን ለማወቅ የሚያገለግል ልዩ ቁጥር ምን ይባላል?,መባጃ ሐመር
498,መባጃ ሐመር ማለት ምን ማለት ነው?,የአጽዋማትንና የበዓላትን መዋያ ወይም መግቢያ ቀን ለማወቅ የሚያገለግል ልዩ ቁጥር
499,በኦርቶዶክስ እምነት ስንት የአዋጅ አጽዋማት አሉ?,ከሰባቱ
500,የላሊበላ ግሎባል ኔትወርክስ ድርጅት አንዷ መስራችና ዋና ኃላፊ ስማቸው ማን ይባላል?,ውለታ ለማ (ዶ/ር)
501,ዶ/ር ውለታ ለማ ያሸነፉበት የውድድር ዓይነት ምን ይባላል?,ፒአይቲሲኤች (PITCH) አዲስ የስራ ፈጠራ
502,ኢትዮጵያዊቷ ዶ/ር ውለታ ለማ ያሸነፉበት የውድድር በየስንት ጊዜው ይካሄዳል?,በየዓመቱ
503,ኢትዮጵያዊቷ ዶ/ር ውለታ ለማ ባሸነፉበት አዲስ የሥራ ፈጠራ ውድድር በመጀመሪያው ዙር ምን ያህል ተወዳዳሪዎች ነበሩ?,2500
504,ዶ/ር ውለታ ለማ ባሸነፉበት አዲስ የሥራ ፈጠራ ውድድር መጨረሻ ላይ ምን ያህል ተወዳዳሪዎች ነበሩ?,700
505,ዶ/ር ውለታ ለማ ያሸነፉበት አዲስ የሥራ ፈጠራ ውድድር በምን ዘርፍ ነው?,በጤና ቴክኖሎጂ
506,በጤና ቴክኖሎጂ አዲስ የሥራ ፈጠራ አሸናፊ የሆኑት ዶ/ር ውለታ ለማ ዜግነታቸው ምንድን ነው?,ኢትዮጵያዊ
507,በጤና ቴክኖሎጂ አዲስ የሥራ ፈጠራ አሸናፊ የሆኑት ኢትዮጵያዊት ማን ይባላሉ?,ውለታ ለማ(ዶ/ር)
